"arc_length","alpha1M","p"
0,2.9094152987e+00,3.0013997500e+06
5e-06,2.9094171224e+00,3.0014002500e+06
1e-05,2.9094189461e+00,3.0014005000e+06
1.5e-05,2.9094207699e+00,3.0014010000e+06
2e-05,2.9094225936e+00,3.0014015000e+06
2.5e-05,2.9094244173e+00,3.0014017500e+06
3e-05,2.9094262411e+00,3.0014022500e+06
3.5e-05,2.9094280648e+00,3.0014027500e+06
4e-05,2.9094298885e+00,3.0014030000e+06
4.5e-05,2.9094317123e+00,3.0014035000e+06
5e-05,2.9094335360e+00,3.0014040000e+06
5.5e-05,2.9094353597e+00,3.0014042500e+06
6e-05,2.9094371834e+00,3.0014047500e+06
6.5e-05,2.9094390072e+00,3.0014052500e+06
7e-05,2.9094408309e+00,3.0014057500e+06
7.5e-05,2.9094426546e+00,3.0014060000e+06
8e-05,2.9094444784e+00,3.0014065000e+06
8.5e-05,2.9094463021e+00,3.0014070000e+06
9e-05,2.9094481258e+00,3.0014072500e+06
9.5e-05,2.9094499496e+00,3.0014077500e+06
0.0001,2.9094517733e+00,3.0014082500e+06
0.000105,2.9094535970e+00,3.0014085000e+06
0.00011,2.9094554207e+00,3.0014090000e+06
0.000115,2.9094572445e+00,3.0014095000e+06
0.00012,2.9094590682e+00,3.0014097500e+06
0.000125,2.9094608919e+00,3.0014102500e+06
0.00013,2.9094663705e+00,3.0014115000e+06
0.000135,2.9094718491e+00,3.0014127500e+06
0.00014,2.9094773277e+00,3.0014140000e+06
0.000145,2.9094828062e+00,3.0014152500e+06
0.00015,2.9094882848e+00,3.0014165000e+06
0.000155,2.9094937634e+00,3.0014177500e+06
0.00016,2.9094992419e+00,3.0014190000e+06
0.000165,2.9095047205e+00,3.0014202500e+06
0.00017,2.9095101991e+00,3.0014215000e+06
0.000175,2.9095156777e+00,3.0014227500e+06
0.00018,2.9095211562e+00,3.0014240000e+06
0.000185,2.9095266348e+00,3.0014252500e+06
0.00019,2.9095321134e+00,3.0014265000e+06
0.000195,2.9095375920e+00,3.0014277500e+06
0.0002,2.9095430705e+00,3.0014290000e+06
0.000205,2.9095485491e+00,3.0014302500e+06
0.00021,2.9095540277e+00,3.0014315000e+06
0.000215,2.9095595063e+00,3.0014327500e+06
0.00022,2.9095649848e+00,3.0014340000e+06
0.000225,2.9095704634e+00,3.0014352500e+06
0.00023,2.9095759420e+00,3.0014365000e+06
0.000235,2.9095814206e+00,3.0014377500e+06
0.00024,2.9095868991e+00,3.0014390000e+06
0.000245,2.9095923777e+00,3.0014402500e+06
0.00025,2.9095978563e+00,3.0014415000e+06
0.000255,2.9096070266e+00,3.0014435000e+06
0.00026,2.9096161969e+00,3.0014457500e+06
0.000265,2.9096253673e+00,3.0014477500e+06
0.00027,2.9096345376e+00,3.0014500000e+06
0.000275,2.9096437079e+00,3.0014520000e+06
0.00028,2.9096528783e+00,3.0014542500e+06
0.000285,2.9096620486e+00,3.0014562500e+06
0.00029,2.9096712190e+00,3.0014585000e+06
0.000295,2.9096803893e+00,3.0014605000e+06
0.0003,2.9096895597e+00,3.0014625000e+06
0.000305,2.9096987300e+00,3.0014647500e+06
0.00031,2.9097079003e+00,3.0014667500e+06
0.000315,2.9097170707e+00,3.0014690000e+06
0.00032,2.9097262410e+00,3.0014710000e+06
0.000325,2.9097354113e+00,3.0014732500e+06
0.00033,2.9097445817e+00,3.0014752500e+06
0.000335,2.9097537520e+00,3.0014772500e+06
0.00034,2.9097629223e+00,3.0014795000e+06
0.000345,2.9097720927e+00,3.0014815000e+06
0.00035,2.9097812630e+00,3.0014837500e+06
0.000355,2.9097904333e+00,3.0014857500e+06
0.00036,2.9097996037e+00,3.0014880000e+06
0.000365,2.9098087740e+00,3.0014900000e+06
0.00037,2.9098179443e+00,3.0014922500e+06
0.000375,2.9098271147e+00,3.0014942500e+06
0.00038,2.9098400433e+00,3.0014972500e+06
0.000385,2.9098529718e+00,3.0015002500e+06
0.00039,2.9098659003e+00,3.0015032500e+06
0.000395,2.9098788289e+00,3.0015062500e+06
0.0004,2.9098917574e+00,3.0015090000e+06
0.000405,2.9099046860e+00,3.0015120000e+06
0.00041,2.9099176145e+00,3.0015150000e+06
0.000415,2.9099305430e+00,3.0015180000e+06
0.00042,2.9099434716e+00,3.0015210000e+06
0.000425,2.9099564002e+00,3.0015240000e+06
0.00043,2.9099693287e+00,3.0015270000e+06
0.000435,2.9099822572e+00,3.0015300000e+06
0.00044,2.9099951858e+00,3.0015327500e+06
0.000445,2.9100081144e+00,3.0015357500e+06
0.00045,2.9100210429e+00,3.0015387500e+06
0.000455,2.9100339714e+00,3.0015417500e+06
0.00046,2.9100469000e+00,3.0015447500e+06
0.000465,2.9100598285e+00,3.0015477500e+06
0.00047,2.9100727571e+00,3.0015507500e+06
0.000475,2.9100856856e+00,3.0015537500e+06
0.00048,2.9100986141e+00,3.0015565000e+06
0.000485,2.9101115427e+00,3.0015595000e+06
0.00049,2.9101244713e+00,3.0015625000e+06
0.000495,2.9101373998e+00,3.0015655000e+06
0.0005,2.9101503284e+00,3.0015685000e+06
0.000505,2.9101670889e+00,3.0015722500e+06
0.00051,2.9101838495e+00,3.0015762500e+06
0.000515,2.9102006102e+00,3.0015800000e+06
0.00052,2.9102173708e+00,3.0015840000e+06
0.000525,2.9102341313e+00,3.0015877500e+06
0.00053,2.9102508920e+00,3.0015915000e+06
0.000535,2.9102676526e+00,3.0015955000e+06
0.00054,2.9102844131e+00,3.0015992500e+06
0.000545,2.9103011738e+00,3.0016032500e+06
0.00055,2.9103179344e+00,3.0016070000e+06
0.000555,2.9103346949e+00,3.0016107500e+06
0.00056,2.9103514556e+00,3.0016147500e+06
0.000565,2.9103682162e+00,3.0016185000e+06
0.00057,2.9103849767e+00,3.0016225000e+06
0.000575,2.9104017374e+00,3.0016262500e+06
0.00058,2.9104184980e+00,3.0016300000e+06
0.000585,2.9104352585e+00,3.0016340000e+06
0.00059,2.9104520192e+00,3.0016377500e+06
0.000595,2.9104687798e+00,3.0016417500e+06
0.0006,2.9104855405e+00,3.0016455000e+06
0.000605,2.9105023010e+00,3.0016492500e+06
0.00061,2.9105190616e+00,3.0016532500e+06
0.000615,2.9105358223e+00,3.0016570000e+06
0.00062,2.9105525828e+00,3.0016610000e+06
0.000625,2.9105693434e+00,3.0016647500e+06
0.00063,2.9105900617e+00,3.0016695000e+06
0.000635,2.9106107798e+00,3.0016742500e+06
0.00064,2.9106314978e+00,3.0016790000e+06
0.000645,2.9106522162e+00,3.0016837500e+06
0.00065,2.9106729342e+00,3.0016885000e+06
0.000655,2.9106936523e+00,3.0016932500e+06
0.00066,2.9107143706e+00,3.0016980000e+06
0.000665,2.9107350887e+00,3.0017027500e+06
0.00067,2.9107558068e+00,3.0017075000e+06
0.000675,2.9107765251e+00,3.0017122500e+06
0.00068,2.9107972432e+00,3.0017170000e+06
0.000685,2.9108179613e+00,3.0017217500e+06
0.00069,2.9108386796e+00,3.0017267500e+06
0.000695,2.9108593977e+00,3.0017315000e+06
0.0007,2.9108801158e+00,3.0017362500e+06
0.000705,2.9109008341e+00,3.0017410000e+06
0.00071,2.9109215522e+00,3.0017457500e+06
0.000715,2.9109422702e+00,3.0017505000e+06
0.00072,2.9109629886e+00,3.0017552500e+06
0.000725,2.9109837066e+00,3.0017600000e+06
0.00073,2.9110044250e+00,3.0017647500e+06
0.000735,2.9110251430e+00,3.0017695000e+06
0.00074,2.9110458611e+00,3.0017742500e+06
0.000745,2.9110665794e+00,3.0017790000e+06
0.00075,2.9110872975e+00,3.0017837500e+06
0.000755,2.9111120913e+00,3.0017895000e+06
0.00076,2.9111368853e+00,3.0017952500e+06
0.000765,2.9111616791e+00,3.0018007500e+06
0.00077,2.9111864729e+00,3.0018065000e+06
0.000775,2.9112112669e+00,3.0018122500e+06
0.00078,2.9112360607e+00,3.0018180000e+06
0.000785,2.9112608545e+00,3.0018235000e+06
0.00079,2.9112856485e+00,3.0018292500e+06
0.000795,2.9113104423e+00,3.0018350000e+06
0.0008,2.9113352360e+00,3.0018407500e+06
0.000805,2.9113600301e+00,3.0018462500e+06
0.00081,2.9113848239e+00,3.0018520000e+06
0.000815,2.9114096176e+00,3.0018577500e+06
0.00082,2.9114344117e+00,3.0018635000e+06
0.000825,2.9114592055e+00,3.0018690000e+06
0.00083,2.9114839992e+00,3.0018747500e+06
0.000835,2.9115087933e+00,3.0018805000e+06
0.00084,2.9115335870e+00,3.0018862500e+06
0.000845,2.9115583808e+00,3.0018917500e+06
0.00085,2.9115831749e+00,3.0018975000e+06
0.000855,2.9116079686e+00,3.0019032500e+06
0.00086,2.9116327624e+00,3.0019090000e+06
0.000865,2.9116575565e+00,3.0019145000e+06
0.00087,2.9116823502e+00,3.0019202500e+06
0.000875,2.9117071443e+00,3.0019260000e+06
0.00088,2.9117361762e+00,3.0019327500e+06
0.000885,2.9117652081e+00,3.0019392500e+06
0.00089,2.9117942403e+00,3.0019460000e+06
0.000895,2.9118232722e+00,3.0019527500e+06
0.0009,2.9118523041e+00,3.0019592500e+06
0.000905,2.9118813363e+00,3.0019660000e+06
0.00091,2.9119103682e+00,3.0019725000e+06
0.000915,2.9119394001e+00,3.0019792500e+06
0.00092,2.9119684323e+00,3.0019860000e+06
0.000925,2.9119974642e+00,3.0019925000e+06
0.00093,2.9120264961e+00,3.0019992500e+06
0.000935,2.9120555283e+00,3.0020060000e+06
0.00094,2.9120845602e+00,3.0020125000e+06
0.000945,2.9121135921e+00,3.0020192500e+06
0.00095,2.9121426243e+00,3.0020260000e+06
0.000955,2.9121716562e+00,3.0020325000e+06
0.00096,2.9122006881e+00,3.0020392500e+06
0.000965,2.9122297204e+00,3.0020460000e+06
0.00097,2.9122587523e+00,3.0020525000e+06
0.000975,2.9122877841e+00,3.0020592500e+06
0.00098,2.9123168164e+00,3.0020657500e+06
0.000985,2.9123458486e+00,3.0020725000e+06
0.00099,2.9123748802e+00,3.0020792500e+06
0.000995,2.9124039124e+00,3.0020857500e+06
0.001,2.9124329446e+00,3.0020925000e+06
0.001005,2.9124663915e+00,3.0021002500e+06
0.00101,2.9124998391e+00,3.0021077500e+06
0.001015,2.9125332868e+00,3.0021155000e+06
0.00102,2.9125667336e+00,3.0021232500e+06
0.001025,2.9126001813e+00,3.0021310000e+06
0.00103,2.9126336289e+00,3.0021385000e+06
0.001035,2.9126670758e+00,3.0021462500e+06
0.00104,2.9127005234e+00,3.0021540000e+06
0.001045,2.9127339710e+00,3.0021615000e+06
0.00105,2.9127674179e+00,3.0021692500e+06
0.001055,2.9128008655e+00,3.0021770000e+06
0.00106,2.9128343132e+00,3.0021847500e+06
0.001065,2.9128677600e+00,3.0021922500e+06
0.00107,2.9129012077e+00,3.0022000000e+06
0.001075,2.9129346553e+00,3.0022077500e+06
0.00108,2.9129681022e+00,3.0022155000e+06
0.001085,2.9130015498e+00,3.0022230000e+06
0.00109,2.9130349975e+00,3.0022307500e+06
0.001095,2.9130684443e+00,3.0022385000e+06
0.0011,2.9131018920e+00,3.0022460000e+06
0.001105,2.9131353396e+00,3.0022537500e+06
0.00111,2.9131687865e+00,3.0022615000e+06
0.001115,2.9132022341e+00,3.0022692500e+06
0.00112,2.9132356818e+00,3.0022767500e+06
0.001125,2.9132691286e+00,3.0022845000e+06
0.00113,2.9133071983e+00,3.0022932500e+06
0.001135,2.9133452681e+00,3.0023020000e+06
0.00114,2.9133833369e+00,3.0023107500e+06
0.001145,2.9134214066e+00,3.0023195000e+06
0.00115,2.9134594764e+00,3.0023282500e+06
0.001155,2.9134975452e+00,3.0023370000e+06
0.00116,2.9135356149e+00,3.0023457500e+06
0.001165,2.9135736847e+00,3.0023545000e+06
0.00117,2.9136117535e+00,3.0023632500e+06
0.001175,2.9136498233e+00,3.0023720000e+06
0.00118,2.9136878930e+00,3.0023807500e+06
0.001185,2.9137259618e+00,3.0023895000e+06
0.00119,2.9137640316e+00,3.0023982500e+06
0.001195,2.9138021013e+00,3.0024070000e+06
0.0012,2.9138401710e+00,3.0024157500e+06
0.001205,2.9138782399e+00,3.0024245000e+06
0.00121,2.9139163096e+00,3.0024332500e+06
0.001215,2.9139543793e+00,3.0024420000e+06
0.00122,2.9139924482e+00,3.0024507500e+06
0.001225,2.9140305179e+00,3.0024595000e+06
0.00123,2.9140685876e+00,3.0024682500e+06
0.001235,2.9141066565e+00,3.0024770000e+06
0.00124,2.9141447262e+00,3.0024857500e+06
0.001245,2.9141827959e+00,3.0024945000e+06
0.00125,2.9142208648e+00,3.0025032500e+06
0.001255,2.9142637929e+00,3.0025130000e+06
0.00126,2.9143067210e+00,3.0025230000e+06
0.001265,2.9143496481e+00,3.0025327500e+06
0.00127,2.9143925763e+00,3.0025427500e+06
0.001275,2.9144355044e+00,3.0025525000e+06
0.00128,2.9144784315e+00,3.0025622500e+06
0.001285,2.9145213596e+00,3.0025722500e+06
0.00129,2.9145642878e+00,3.0025820000e+06
0.001295,2.9146072149e+00,3.0025920000e+06
0.0013,2.9146501430e+00,3.0026017500e+06
0.001305,2.9146930711e+00,3.0026115000e+06
0.00131,2.9147359982e+00,3.0026215000e+06
0.001315,2.9147789264e+00,3.0026312500e+06
0.00132,2.9148218545e+00,3.0026412500e+06
0.001325,2.9148647816e+00,3.0026510000e+06
0.00133,2.9149077097e+00,3.0026607500e+06
0.001335,2.9149506379e+00,3.0026707500e+06
0.00134,2.9149935650e+00,3.0026805000e+06
0.001345,2.9150364931e+00,3.0026905000e+06
0.00135,2.9150794212e+00,3.0027002500e+06
0.001355,2.9151223484e+00,3.0027100000e+06
0.00136,2.9151652765e+00,3.0027200000e+06
0.001365,2.9152082046e+00,3.0027297500e+06
0.00137,2.9152511317e+00,3.0027397500e+06
0.001375,2.9152940599e+00,3.0027495000e+06
0.00138,2.9153420827e+00,3.0027605000e+06
0.001385,2.9153901043e+00,3.0027715000e+06
0.00139,2.9154381271e+00,3.0027825000e+06
0.001395,2.9154861499e+00,3.0027935000e+06
0.0014,2.9155341716e+00,3.0028047500e+06
0.001405,2.9155821944e+00,3.0028157500e+06
0.00141,2.9156302172e+00,3.0028267500e+06
0.001415,2.9156782388e+00,3.0028377500e+06
0.00142,2.9157262616e+00,3.0028487500e+06
0.001425,2.9157742844e+00,3.0028597500e+06
0.00143,2.9158223061e+00,3.0028707500e+06
0.001435,2.9158703289e+00,3.0028817500e+06
0.00144,2.9159183517e+00,3.0028930000e+06
0.001445,2.9159663734e+00,3.0029040000e+06
0.00145,2.9160143962e+00,3.0029150000e+06
0.001455,2.9160624190e+00,3.0029260000e+06
0.00146,2.9161104417e+00,3.0029370000e+06
0.001465,2.9161584634e+00,3.0029480000e+06
0.00147,2.9162064862e+00,3.0029590000e+06
0.001475,2.9162545090e+00,3.0029700000e+06
0.00148,2.9163025307e+00,3.0029812500e+06
0.001485,2.9163505535e+00,3.0029922500e+06
0.00149,2.9163985763e+00,3.0030032500e+06
0.001495,2.9164465979e+00,3.0030142500e+06
0.0015,2.9164946207e+00,3.0030252500e+06
0.001505,2.9165480188e+00,3.0030375000e+06
0.00151,2.9166014156e+00,3.0030497500e+06
0.001515,2.9166548136e+00,3.0030620000e+06
0.00152,2.9167082116e+00,3.0030742500e+06
0.001525,2.9167616084e+00,3.0030865000e+06
0.00153,2.9168150065e+00,3.0030987500e+06
0.001535,2.9168684045e+00,3.0031110000e+06
0.00154,2.9169218013e+00,3.0031232500e+06
0.001545,2.9169751993e+00,3.0031355000e+06
0.00155,2.9170285974e+00,3.0031477500e+06
0.001555,2.9170819942e+00,3.0031600000e+06
0.00156,2.9171353922e+00,3.0031722500e+06
0.001565,2.9171887902e+00,3.0031847500e+06
0.00157,2.9172421870e+00,3.0031970000e+06
0.001575,2.9172955851e+00,3.0032092500e+06
0.00158,2.9173489831e+00,3.0032215000e+06
0.001585,2.9174023799e+00,3.0032337500e+06
0.00159,2.9174557780e+00,3.0032460000e+06
0.001595,2.9175091760e+00,3.0032582500e+06
0.0016,2.9175625728e+00,3.0032705000e+06
0.001605,2.9176159708e+00,3.0032827500e+06
0.00161,2.9176693689e+00,3.0032950000e+06
0.001615,2.9177227657e+00,3.0033072500e+06
0.00162,2.9177761637e+00,3.0033195000e+06
0.001625,2.9178295617e+00,3.0033317500e+06
0.00163,2.9178886437e+00,3.0033452500e+06
0.001635,2.9179477271e+00,3.0033590000e+06
0.00164,2.9180068105e+00,3.0033725000e+06
0.001645,2.9180658925e+00,3.0033860000e+06
0.00165,2.9181249759e+00,3.0033995000e+06
0.001655,2.9181840593e+00,3.0034132500e+06
0.00166,2.9182431414e+00,3.0034267500e+06
0.001665,2.9183022247e+00,3.0034402500e+06
0.00167,2.9183613081e+00,3.0034540000e+06
0.001675,2.9184203902e+00,3.0034675000e+06
0.00168,2.9184794735e+00,3.0034810000e+06
0.001685,2.9185385569e+00,3.0034945000e+06
0.00169,2.9185976390e+00,3.0035082500e+06
0.001695,2.9186567223e+00,3.0035217500e+06
0.0017,2.9187158057e+00,3.0035352500e+06
0.001705,2.9187748878e+00,3.0035487500e+06
0.00171,2.9188339712e+00,3.0035625000e+06
0.001715,2.9188930545e+00,3.0035760000e+06
0.00172,2.9189521366e+00,3.0035895000e+06
0.001725,2.9190112200e+00,3.0036032500e+06
0.00173,2.9190703033e+00,3.0036167500e+06
0.001735,2.9191293867e+00,3.0036302500e+06
0.00174,2.9191884688e+00,3.0036437500e+06
0.001745,2.9192475522e+00,3.0036575000e+06
0.00175,2.9193066355e+00,3.0036710000e+06
0.001755,2.9193717499e+00,3.0036860000e+06
0.00176,2.9194368657e+00,3.0037010000e+06
0.001765,2.9195019815e+00,3.0037157500e+06
0.00177,2.9195670959e+00,3.0037307500e+06
0.001775,2.9196322117e+00,3.0037457500e+06
0.00178,2.9196973275e+00,3.0037607500e+06
0.001785,2.9197624419e+00,3.0037757500e+06
0.00179,2.9198275577e+00,3.0037905000e+06
0.001795,2.9198926735e+00,3.0038055000e+06
0.0018,2.9199577879e+00,3.0038205000e+06
0.001805,2.9200229037e+00,3.0038355000e+06
0.00181,2.9200880195e+00,3.0038505000e+06
0.001815,2.9201531338e+00,3.0038652500e+06
0.00182,2.9202182497e+00,3.0038802500e+06
0.001825,2.9202833655e+00,3.0038952500e+06
0.00183,2.9203484798e+00,3.0039102500e+06
0.001835,2.9204135957e+00,3.0039252500e+06
0.00184,2.9204787115e+00,3.0039400000e+06
0.001845,2.9205438258e+00,3.0039550000e+06
0.00185,2.9206089417e+00,3.0039700000e+06
0.001855,2.9206740575e+00,3.0039850000e+06
0.00186,2.9207391718e+00,3.0040000000e+06
0.001865,2.9208042877e+00,3.0040147500e+06
0.00187,2.9208694035e+00,3.0040297500e+06
0.001875,2.9209345178e+00,3.0040447500e+06
0.00188,2.9210061163e+00,3.0040612500e+06
0.001885,2.9210777148e+00,3.0040777500e+06
0.00189,2.9211493116e+00,3.0040940000e+06
0.001895,2.9212209101e+00,3.0041105000e+06
0.0019,2.9212925086e+00,3.0041270000e+06
0.001905,2.9213641054e+00,3.0041435000e+06
0.00191,2.9214357039e+00,3.0041597500e+06
0.001915,2.9215073024e+00,3.0041762500e+06
0.00192,2.9215788992e+00,3.0041927500e+06
0.001925,2.9216504977e+00,3.0042092500e+06
0.00193,2.9217220962e+00,3.0042255000e+06
0.001935,2.9217936931e+00,3.0042420000e+06
0.00194,2.9218652915e+00,3.0042585000e+06
0.001945,2.9219368900e+00,3.0042750000e+06
0.00195,2.9220084869e+00,3.0042912500e+06
0.001955,2.9220800854e+00,3.0043077500e+06
0.00196,2.9221516838e+00,3.0043242500e+06
0.001965,2.9222232823e+00,3.0043407500e+06
0.00197,2.9222948808e+00,3.0043570000e+06
0.001975,2.9223664760e+00,3.0043735000e+06
0.00198,2.9224380745e+00,3.0043900000e+06
0.001985,2.9225096730e+00,3.0044065000e+06
0.00199,2.9225812715e+00,3.0044227500e+06
0.001995,2.9226528699e+00,3.0044392500e+06
0.002,2.9227244684e+00,3.0044557500e+06
0.002005,2.9228033066e+00,3.0044737500e+06
0.00201,2.9228821485e+00,3.0044920000e+06
0.002015,2.9229609903e+00,3.0045100000e+06
0.00202,2.9230398322e+00,3.0045282500e+06
0.002025,2.9231186740e+00,3.0045462500e+06
0.00203,2.9231975159e+00,3.0045645000e+06
0.002035,2.9232763540e+00,3.0045825000e+06
0.00204,2.9233551959e+00,3.0046007500e+06
0.002045,2.9234340377e+00,3.0046187500e+06
0.00205,2.9235128796e+00,3.0046367500e+06
0.002055,2.9235917214e+00,3.0046550000e+06
0.00206,2.9236705633e+00,3.0046730000e+06
0.002065,2.9237494015e+00,3.0046912500e+06
0.00207,2.9238282433e+00,3.0047092500e+06
0.002075,2.9239070851e+00,3.0047275000e+06
0.00208,2.9239859270e+00,3.0047455000e+06
0.002085,2.9240647688e+00,3.0047635000e+06
0.00209,2.9241436107e+00,3.0047817500e+06
0.002095,2.9242224489e+00,3.0047997500e+06
0.0021,2.9243012907e+00,3.0048180000e+06
0.002105,2.9243801326e+00,3.0048360000e+06
0.00211,2.9244589744e+00,3.0048542500e+06
0.002115,2.9245378163e+00,3.0048722500e+06
0.00212,2.9246166581e+00,3.0048905000e+06
0.002125,2.9246955000e+00,3.0049085000e+06
0.00213,2.9247833458e+00,3.0049287500e+06
0.002135,2.9248711958e+00,3.0049487500e+06
0.00214,2.9249590458e+00,3.0049690000e+06
0.002145,2.9250468958e+00,3.0049892500e+06
0.00215,2.9251347458e+00,3.0050092500e+06
0.002155,2.9252225957e+00,3.0050295000e+06
0.00216,2.9253104416e+00,3.0050497500e+06
0.002165,2.9253982916e+00,3.0050697500e+06
0.00217,2.9254861416e+00,3.0050900000e+06
0.002175,2.9255739916e+00,3.0051102500e+06
0.00218,2.9256618415e+00,3.0051302500e+06
0.002185,2.9257496915e+00,3.0051505000e+06
0.00219,2.9258375374e+00,3.0051707500e+06
0.002195,2.9259253874e+00,3.0051910000e+06
0.0022,2.9260132373e+00,3.0052110000e+06
0.002205,2.9261010873e+00,3.0052312500e+06
0.00221,2.9261889373e+00,3.0052515000e+06
0.002215,2.9262767873e+00,3.0052715000e+06
0.00222,2.9263646332e+00,3.0052917500e+06
0.002225,2.9264524831e+00,3.0053120000e+06
0.00223,2.9265403331e+00,3.0053320000e+06
0.002235,2.9266281831e+00,3.0053522500e+06
0.00224,2.9267160331e+00,3.0053725000e+06
0.002245,2.9268038831e+00,3.0053925000e+06
0.00225,2.9268917289e+00,3.0054127500e+06
0.002255,2.9269941096e+00,3.0054362500e+06
0.00226,2.9270964903e+00,3.0054597500e+06
0.002265,2.9271988710e+00,3.0054832500e+06
0.00227,2.9273012517e+00,3.0055067500e+06
0.002275,2.9274036324e+00,3.0055302500e+06
0.00228,2.9275060083e+00,3.0055537500e+06
0.002285,2.9276083890e+00,3.0055772500e+06
0.00229,2.9277107697e+00,3.0056007500e+06
0.002295,2.9278131504e+00,3.0056242500e+06
0.0023,2.9279155311e+00,3.0056477500e+06
0.002305,2.9280179118e+00,3.0056712500e+06
0.00231,2.9281202877e+00,3.0056947500e+06
0.002315,2.9282226684e+00,3.0057185000e+06
0.00232,2.9283250491e+00,3.0057420000e+06
0.002325,2.9284274298e+00,3.0057655000e+06
0.00233,2.9285298105e+00,3.0057890000e+06
0.002335,2.9286321912e+00,3.0058125000e+06
0.00234,2.9287345672e+00,3.0058360000e+06
0.002345,2.9288369479e+00,3.0058595000e+06
0.00235,2.9289393285e+00,3.0058830000e+06
0.002355,2.9290417092e+00,3.0059065000e+06
0.00236,2.9291440899e+00,3.0059300000e+06
0.002365,2.9292464706e+00,3.0059535000e+06
0.00237,2.9293488466e+00,3.0059770000e+06
0.002375,2.9294512273e+00,3.0060005000e+06
0.00238,2.9295903413e+00,3.0060325000e+06
0.002385,2.9297294553e+00,3.0060645000e+06
0.00239,2.9298685692e+00,3.0060962500e+06
0.002395,2.9300076832e+00,3.0061282500e+06
0.0024,2.9301467972e+00,3.0061602500e+06
0.002405,2.9302859048e+00,3.0061922500e+06
0.00241,2.9304250188e+00,3.0062240000e+06
0.002415,2.9305641328e+00,3.0062560000e+06
0.00242,2.9307032468e+00,3.0062880000e+06
0.002425,2.9308423608e+00,3.0063200000e+06
0.00243,2.9309814747e+00,3.0063517500e+06
0.002435,2.9311205823e+00,3.0063837500e+06
0.00244,2.9312596963e+00,3.0064157500e+06
0.002445,2.9313988103e+00,3.0064477500e+06
0.00245,2.9315379243e+00,3.0064795000e+06
0.002455,2.9316770383e+00,3.0065115000e+06
0.00246,2.9318161523e+00,3.0065435000e+06
0.002465,2.9319552598e+00,3.0065755000e+06
0.00247,2.9320943738e+00,3.0066072500e+06
0.002475,2.9322334878e+00,3.0066392500e+06
0.00248,2.9323726018e+00,3.0066712500e+06
0.002485,2.9325117158e+00,3.0067032500e+06
0.00249,2.9326508298e+00,3.0067350000e+06
0.002495,2.9327899373e+00,3.0067670000e+06
